lexeme,stem,class
"zu""zzu+r+fa/+",zuzzurfa,a-a
"zuzzuge""",zuzzuge,i
"zu/ra""ki/+",zuraki,ai
"zu""nu+bi""",zunubi,ai
"zumu""",zumu,Cai
zugu/,zugu,a-e
"zuga/""zu+gi/+",zugazugi,ai
"zubka""",zubka,oCi
zo/mo/,zomo,aye
"zir'de/'de""",zirdede,RED-comp
"zi""ndi/+k'i""",zindiki,ai
"za""zza/+k'a/+",zazzaka,a-a
za/za/,zaza,u
"za""wa+rtsa+mi/+",zawartsami,ai
"zawa""r+a/+",zawara,RED
"zartake""",zartake,a-u
"za/""ra+mmi""",zarammi,i
zanko/,zanko,RED
"zank'ale/le""",zankalele,RED-comp
"zango/""ma^",zangoma,Cai
"zangar+e/r+e""",zangarere,RED-comp
"zangame/me""",zangameme,RED-comp
"za/ki""",zaki,oCi
"za/bi""ya/+",zabiya,oCi
"ya""yya+uk'a/+",yayyauka,a-a
"'yara""ni/+",yarani,oCi
"ya/k'i""",yaki,RED
"ya/ka""",yaka,a-u
"yagiya""",yagiya,Cai
"ya""bo/+",yabo,Cai
wuski/,wuski,a-e
wuk'a/,wuka,a-e
"wazi/ri""",waziri,ai
wa/wa/,wawa,aye
"wata""",wata,anni
"wa""si/+k'a""",wasika,RED
"wasa""li/+",wasali,RED
"wa""rki/+",warki,una
"warka""",warka,oCi
"wa""nza/+mi""",wanzami,ai
wani,wani,RED
wangami/,wangami,RED-comp
"wangame/me""",wangameme,RED-comp
"wa""ndo/+",wando,una
wance/ni/,wanceni,i
"wa""nca/""na/+",wancana,a-a
wa/ke/,wake,Cai
wa/ga/,waga,a-e
"wa/'a""di/+",waadi,oCi
"u""ngurdu""gi/+",ungurdugi,ai
"u""ngu""lu/+",ungulu,Cai
"u""ngo/+zo/""ma/""",ungozoma,Cai
"u""ba+ngi+ji""",ubangiji,i
"u""ba/",uba,anni
"tu""zu/+r+u/+",tuzuru,Cai
"tuttur+e""",tutture,Cai
tuttuk'i/,tuttuki,RED-comp
tu/ta,tuta,oCi
"tu""ru/+zu""",turuzu,Cai
tu/r+u/,turu,aye
tur+mi/,turmi,a-e
"tur+ku""'di/+",turkudi,u-a
"tur+ba""",turba,oCi
"tuntume/me""",tuntumeme,RED-comp
tuntu/,tuntu,aye
"tuntsume/me""",tuntsumeme,RED-comp
"tunk'ume/me""",tunkumeme,RED-comp
"tu""nku/+",tunku,una
"tungume/me""",tungumeme,RED-comp
"tumurgu""du""",tumurgudu,Cai
"tu/""lu/+",tulu,una
"tu/lik'e/k'e""",tulikeke,RED-comp
"tu/le/le/""",tulele,u-a
"tu""k'u+llu+ma/+",tukulluma,oCi
"tuku""ba/+",tukuba,oCi
tukku/,tukku,aye
"tuka/""tu+ki/+",tukatuki,ai
"tsu""nga/+lu+mi/+",tsungalumi,ai
"tsu/na""",tsuna,Cai
"tsu/li""ya/+",tsuliya,oCi
"tsubhu""",tsubhu,RED-e
"tso/ka""",tsoka,oCi
"tsi/ta""ka/+",tsitaka,oCi
tsir+kiya/,tsirkiya,oCi
"tsi""nga/+lu+mi/+",tsingalumi,ai
"tsi""gir+gi""r+i/+",tsigirgiri,ai
"tsi""bi+r+i+",tsibiri,ai
"tsa""ttsa+ur+a/+",tsattsaura,a-a
"tsa""ttsa+r+ka/+",tsattsarka,a-a
tsartuwa/,tsartuwa,aCe
"tsar+mi""",tsarmi,a-e
"tsa""ri/+ki""",tsariki,ai
"tsanya""",tsanya,oCi
"tsa/ni""",tsani,uka
"tsa""nga+ya""",tsangaya,a-u
"tsa""nga/+lu+mi/+",tsangalumi,ai
"tsa/li""bi/+",tsalibi,ai
"tsa/hi""ri/+",tsahiri,ai
tsagar+gar+i/,tsagargari,ai
to/zo/,tozo,aye
tittik'i/,tittiki,Ca
ti/ri/k'i/,tiriki,ai
"tir'dime/me""",tirdimeme,RED-comp
"tir'de/'de""",tirdede,RED-comp
"tinjime/me""",tinjimeme,RED-comp
tilintilimi/,tilintilimi,ai
"tika/""ti+ki/+",tikatiki,ai
"te/""ku/+",teku,una
