stem,lexeme,class
abbat,аббат,ik
ad,ад,ik-ok
aljbom,алйбом,chik
alkogolj,алкоголй,ik
almaz,алмаз,ik
altarj,алтарй,ik
ambar,амбар,chik
amur,амур,chik
anatom,анатом,ik
angjel,ангйел,chik-ok
anjekdot,анйекдот,ik
anjekdotjets,анйекдотйетс,ik
ankjer,анкйер,ok
ant,ант,ik
apjeljsjin,апйелйсйин,chik
apostol,апостол,ik
apparat,аппарат,ik
ar,ар,chik-ik-ok
arab,араб,chik
arap,арап,chik
arbuz,арбуз,ik
arik,арик,ok
arjestant,арйестант,ik
arjistokrat,арйистократ,ik
aromat,аромат,ik
arshin,аршин,chik
as,ас,ok
atljet,атлйет,ik
avtomobjilj,автомобйилй,chik
az,аз,ik
bak,бак,ok
bal,бал,ok
balagan,балаган,chik
balik,балик,ok
balkon,балкон,chik
ballon,баллон,chik
banan,банан,chik
bank,банк,ok
bant,бант,ik
bar,бар,ik-ok
baraban,барабан,chik
baran,баран,ik-ok
baranjets,баранйетс,chik-ik
barish,бариш,ok
barjjer,барййер,chik
baron,барон,chik
bars,барс,ik
barsuk,барсук,ok
barxan,бархан,chik
bas,бас,ok
bash,баш,ok
bashmak,башмак,ok
bastr,бастр,ik
batog,батог,ok
baton,батон,chik
batrak,батрак,ok
baul,баул,chik
baz,баз,ik-ok
bazar,базар,chik
bik,бик,ok
bit,бит,ok
bjegjemot,бйегйемот,ik
bjegun,бйегун,ok
bjel,бйел,chik-ik-ok
bjeljak,бйеляк,ok
bjerjeg,бйерйег,ok
bjes,бйес,ok
bjichj,бйичй,ok
bjidon,бйидон,chik
bjiljet,бйилйет,ik
bjirjuchj,бйирючй,ok
bjit,бйит,ok
bjust,бюст,ik
bljin,блйин,chik-ok
blok,блок,ok
bloknot,блокнот,ik
bob,боб,ik-ok
bobr,бобр,ik
bochjag,бочяг,ok
bodrjak,бодряк,ok
bog,бог,ok
bojevjik,бойевйик,ok
bok,бок,ok
bokal,бокал,chik
boljshevjik,болйшевйик,ok
bolt,болт,ik
bolvan,болван,chik
bor,бор,chik-ik-ok
bordjur,бордюр,chik
borjets,борйетс,ik
borov,боров,ik-ok
borovjik,боровйик,ok
borshshj,боршшй,ik
bort,борт,ik
bot,бот,ik-ok
brasljet,браслйет,ik
brat,брат,ik-ok
bratjets,братйетс,ik
brjed,брйед,ok
brjikjet,брйикйет,ik
brjilljiant,брйиллйиант,ik
bronjevjik,бронйевйик,ok
brus,брус,ok
bubjen,бубйен,ok
bubjenjets,бубйенйетс,chik-ik
bugor,бугор,ok
bukjet,букйет,ik
bur,бур,ik-ok
burak,бурак,ok
burav,бурав,chik
burt,бурт,ik
burun,бурун,chik
burunduk,бурундук,ok
burzhuj,буржуй,chik
but,бут,ik-ok
butjerbrod,бутйерброд,ik
buton,бутон,chik
chjal,чял,ik-ok
chjan,чян,chik-ik-ok
chjas,чяс,ik-ok
chjebak,чйебак,ok
chjekan,чйекан,chik
chjelnok,чйелнок,ok
chjemodan,чйемодан,chik
chjepjets,чйепйетс,chik-ik
chjerdak,чйердак,ok
chjerjep,чйерйеп,ok
chjerpak,чйерпак,ok
chjervjak,чйервяк,ok
chjervonjets,чйервонйетс,chik-ik
chjetvjertak,чйетвйертак,ok
chjex,чйех,ok
chjexol,чйехол,chik
chjin,чйин,ok
chjinar,чйинар,ik
chjizh,чйиж,ik-ok
chjljen,чйлйен,ik
chjobot,чйобот,ok
chjort,чйорт,ok
chjos,чйос,ok
chjot,чйот,ok
chjub,чюб,chik-ik-ok
chjugun,чюгун,ok
chjulan,чюлан,chik
chjum,чюм,ik
chjurbak,чюрбак,ok
chjurban,чюрбан,chik
dar,дар,ik-ok
dim,дим,ok
djed,дйед,ik-ok
djeljfjin,дйелйфйин,chik
djergun,дйергун,chik
djetsad,дйетсад,ik
djiabjet,дйиабйет,ik
djiagnost,дйиагност,ik
djialjekt,дйиалйект,ik
djinozavr,дйинозавр,ik
djivan,дйиван,chik
djjak,дйяк,ok
dobrjak,добряк,ok
dogmat,догмат,ik
dok,док,ok
dokumjent,докумйент,ik
dolg,долг,ok
dollar,доллар,chik
dom,дом,ik-ok
don,дон,ok
donjets,донйетс,chik-ik
donos,донос,ik
dozhdj,дождй,ik
dozhdjik,дождйик,ok
drakon,дракон,chik
drot,дрот,ik
drozd,дрозд,ok
drug,друг,ok
dub,дуб,ik-ok
durak,дурак,ok
dush,душ,ok
dvojnjik,двойнйик,ok
dvor,двор,ik
ekran,екран,chik
ekzjempljar,екзйемпляр,chik
ekzot,екзот,ik
elj,елй,ik
eljektromotor,елйектромотор,chik
eljektron,елйектрон,ik
eljektroshshjit,елйектрошшйит,ok
epjizod,епйизод,ik
erl,ерл,ik
estjet,естйет,ik
etjud,етюд,ik
evjen,евйен,ok
fakt,факт,ik
fal,фал,ik
fant,фант,ik
fat,фат,ik
fjeljjeton,фйелййетон,chik
fjert,фйерт,ik
fjeston,фйестон,chik
fjial,фйиал,ok
flag,флаг,ok
flakon,флакон,chik
fonarj,фонарй,ik
fontan,фонтан,chik
ford,форд,ik
frant,франт,ik
frantsuz,франтсуз,ik
fronton,фронтон,chik
funt,фунт,ik
furgon,фургон,chik
futljar,футляр,chik
gad,гад,ik
ganjets,ганйетс,chik-ik
gaz,газ,ik
gazon,газон,chik
gimnazjist,гимназйист,ik
gjen,гйен,chik-ok
gjenjeral,гйенйерал,chik
glad,глад,ik-ok
glaz,глаз,ok
glot,глот,ok
gnojnjik,гнойнйик,ok
gnom,гном,ik
god,год,ik-ok
godovjik,годовйик,ok
gol,гол,ik-ok
golavlj,голавлй,ik
golish,голиш,ok
golod,голод,ok
golos,голос,ok
golubjets,голубйетс,chik-ik
gon,гон,ok
gonjets,гонйетс,chik-ik
gonorar,гонорар,chik
gorb,горб,ik-ok
gorbun,горбун,ok
gorjun,горюн,ok
gorn,горн,ik
gorod,город,ok
gorox,горох,ok
gospodarj,господарй,ik
gospodjin,господйин,chik
