lexeme,stem,class
abalanzar,abalanz,ar-regular
abanderar,abander,ar-regular
abandonar,abandon,ar-regular
abanicar,abanic,ar-regular
abaratar,abarat,ar-regular
abarcar,abarc,ar-regular
abarrotar,abaRot,ar-regular
abastar,abast,ar-regular
abdicar,abdic,ar-regular
ablandar,abland,ar-regular
abocar,aboc,ar-regular
abogar,abog,ar-regular
abombar,abomb,ar-regular
abonar,abon,ar-regular
abordar,abord,ar-regular
abortar,abort,ar-regular
abrasar,abras,ar-regular
abrazar,abraz,ar-regular
abreviar,abrebi,ar-regular
abrigar,abrig,ar-regular
abrillantar,abriLant,ar-regular
abrochar,abroC,ar-regular
abrogar,abrog,ar-regular
abuchear,abuCe,ar-regular
abultar,abult,ar-regular
abundar,abund,ar-regular
abusar,abus,ar-regular
acabar,acab,ar-regular
acallar,acaL,ar-regular
acalorar,acalor,ar-regular
acampar,acamp,ar-regular
acaparar,acapar,ar-regular
acariciar,acarizi,ar-regular
acarrear,acaRe,ar-regular
acartonar,acarton,ar-regular
acatar,acat,ar-regular
acatarrar,acataR,ar-regular
acaudalar,acaudal,ar-regular
accionar,aczion,ar-regular
acechar,azeC,ar-regular
aceitar,azeit,ar-regular
acelerar,azeler,ar-regular
acentuar,azentu,ar-regular
aceptar,azept,ar-regular
acerar,azer,ar-regular
acercar,azerc,ar-regular
acertar,azert,ar-ie
achacar,aCac,ar-regular
achicar,aCic,ar-regular
achicharrar,aCiCaR,ar-regular
aclamar,aclam,ar-regular
aclarar,aclar,ar-regular
acogotar,acogot,ar-regular
acomodar,acomod,ar-regular
acondicionar,acondizion,ar-regular
acongojar,acongoj,ar-regular
aconsejar,aconsej,ar-regular
acopiar,acopi,ar-regular
acoplar,acopl,ar-regular
acorazar,acoraz,ar-regular
acordar,acord,ar-ue
acordonar,acordon,ar-regular
acorralar,acoRal,ar-regular
acortar,acort,ar-regular
acosar,acos,ar-regular
acostar,acost,ar-ue
acostumbrar,acostumbr,ar-regular
acotar,acot,ar-regular
acrecentar,acrezent,ar-ie
acreditar,acredit,ar-regular
acribillar,acribiL,ar-regular
activar,actib,ar-regular
actualizar,actualiz,ar-regular
actuar,actu,ar-regular
acuchillar,acuCiL,ar-regular
acuciar,acuzi,ar-regular
acumular,acumul,ar-regular
acusar,acus,ar-regular
adaptar,adapt,ar-regular
adecentar,adezent,ar-regular
adecuar,adecu,ar-regular
adelantar,adelant,ar-regular
adelgazar,adelgaz,ar-regular
aderezar,aderez,ar-regular
adeudar,adeud,ar-regular
adicionar,adizion,ar-regular
adiestrar,adiestr,ar-regular
adivinar,adibin,ar-regular
adjetivar,adjetib,ar-regular
adjudicar,adjudic,ar-regular
adjuntar,adjunt,ar-regular
administrar,administr,ar-regular
admirar,admir,ar-regular
adobar,adob,ar-regular
adoctrinar,adoctrin,ar-regular
adoptar,adopt,ar-regular
adorar,ador,ar-regular
adornar,adorn,ar-regular
adosar,ados,ar-regular
adulterar,adulter,ar-regular
afamar,afam,ar-regular
afanar,afan,ar-regular
afear,afe,ar-regular
afectar,afect,ar-regular
afeitar,afeit,ar-regular
aferrar,afeR,ar-regular
afianzar,afianz,ar-regular
aficionar,afizion,ar-regular
afilar,afil,ar-regular
afinar,afin,ar-regular
afirmar,afirm,ar-regular
aflojar,afloj,ar-regular
aflorar,aflor,ar-regular
afrentar,afrent,ar-regular
afrontar,afront,ar-regular
agachar,agaC,ar-regular
agarrar,agaR,ar-regular
agarrotar,agaRot,ar-regular
agasajar,agasaj,ar-regular
agenciar,ajenzi,ar-regular
agilizar,ajiliz,ar-regular
agitar,ajit,ar-regular
