lexeme,stem,class
bẹ¹nt’i,bẹnt’i,Ib
bë²-ndu²-mbʉ¹²i,bëndumbʉi,Ib
bë²nna²-te,bënnate,Ib
bë¹²ni,bëni,Ib
bo²ngi,bongi,Ib
ma²xt’i,maxt’i,Ib
ma¹,ma,Ib
ma¹²hi,mahi,Ib
ma¹di,madi,Ib
ma¹ki,maki,Ib
ma¹m-ma²nho,mammanho,Ib
ma¹n=tho,mantho,Ib
ma¹ti,mati,Ib
me¹²pya,mepya,Ib
mi¹²hi,mihi,Ib
mi¹t’i,mit’i,Ib
mi¹ʔts’i,miʔts’i,Ib
mu²ʔts’i,muʔts’i,Ib
mu¹²,mu,Ib
mu¹²i,mui,Ib
mu¹nni,munni,Ib
mu¹t’i,mut’i,Ib
nde²,nde,Ib
ndø²m-ma²nsu,ndømmansu,Ib
ne¹²hi,nehi,Ib
ne¹ni,neni,Ib
ne¹ti,neti,Ib
ne¹t’a¹-hạ¹²i,net’ahại,Ib
ne¹t’i,net’i,Ib
ne¹ʔmi,neʔmi,Ib
ne¹ʔts’i,neʔts’i,Ib
ne¹ʔt’i,neʔt’i,Ib
nu²-do²ndo,nudondo,Ib
nu²-do²ndo¹-bi,nudondobi,Ib
nu²-hạ¹²i,nuhại,Ib
nu²-hyo¹ya,nuhyoya,Ib
nu²-jä¹ʔi,nujäʔi,Ib
nu²-ma²nho,numanho,Ib
nu²-ma²nsu,numansu,Ib
nu²-ma²nʔʉ,numanʔʉ,Ib
nu²r-bi,nurbi,Ib
nu¹²,nu,Ib
wä¹²hi,wähi,Ib
wä¹-pi,wäpi,Ib
ya¹²xt’i,yaxt’i,Ib
ya¹²ʔts’i,yaʔts’i,Ib
yä¹²fi,yäfi,Ib
yä¹²ni,yäni,Ib
ye²ʔmi,yeʔmi,Ib
yë¹gi,yëgi,Ib
yu¹ts’i,yuts’i,Ib
zo²fo,zofo,Ib
zo²hni,zohni,Ib
zo²m-ma²nho,zommanho,Ib
mi²,mi,Ib
n=pi¹²di,pidi,II
n=bø²m-mbe,bømmbe,II
n=bø²ni,bøni,II
n=ma²nxa,manxa,II
n=ma²ʔt’i,maʔt’i,II
n=mu¹²-pa,mupa,II
n=pạ¹,pạ,II
n=pë¹,pë,II
n=pï²ts’i,pïts’i,II
n=pø²nga¹-hyä,pøngahyä,II
n=pø²ʔt’e,pøʔt’e,II
n=pø²ts’e,pøts’e,II
n=ʔbạ¹²i,ʔbại,II
n=ʔbạ²n-yä,ʔbạnyä,II
n=ʔbẹ²-mfo,ʔbẹmfo,II
n=ʔbẹ²ni,ʔbẹni,II
n=ʔbʉ²i,ʔbʉi,II
n=ʔbʉ¹²t’i,ʔbʉt’i,II
n=ʔạ²-thä,ʔạthä,II
n=ʔa¹²ki,ʔaki,II
n=ʔạ²-fạ²di,ʔạfạdi,II
n=ʔạ²di,ʔạdi,II
n=ʔä²gi,ʔägi,II
n=ʔa²nni,ʔanni,II
n=ʔạ²nni,ʔạnni,II
n=ʔa²ts’i,ʔats’i,II
n=ʔạ²ts’i,ʔạts’i,II
n=ʔạ¹ʔts’a¹-hu¹²di,ʔạʔts’ahudi,II
n=dä¹n-yä¹hmu,dänyähmu,II
n=dä²n-nde,dännde,II
n=dẹ²ki,dẹki,II
n=do¹²ki,doki,II
n=du²-ma²nhyʉ,dumanhyʉ,II
n=du²-tsẹ,dutsẹ,II
n=du¹,du,II
n=du²-thä,duthä,II
n=du¹-ʔbẹ¹ni,duʔbẹni,II
n=du²pa²-te,dupate,II
n=du¹-yä,duyä,II
n=ʔë²x-te,ʔëxte,II
n=ʔë²ni,ʔëni,II
n=gä²-yä,gäyä,II
n=ga¹²ti,gati,II
n=gä²t’i,gät’i,II
n=gø²tsu,gøtsu,II
n=gʉ²-fo,gʉfo,II
n=gʉ²zʉ,gʉzʉ,II
n=hä²-t’ʉ²hni,hät’ʉhni,II
n=hë²,hë,II
n=jä²ʔi,jäʔi,II
n=jo¹ki,joki,II
n=kạ¹²hmi,kạhmi,II
n=kwẹ¹,kwẹ,II
n=k’o²ʔmi,k’oʔmi,II
n=k’o²ʔts’i,k’oʔts’i,II
n=k’o¹²mmi,k’ommi,II
n=k’ʉ²ʔts’i,k’ʉʔts’i,II
n=k’ʉ¹²nt’i,k’ʉnt’i,II
