lexeme,stem,class,regular,last,last2,last3,last4,first,first2,first3,first4
abalanzar,abalanz,ar-regular,1,z,n,a,l,a,b,a,l
abanderar,abander,ar-regular,1,r,e,d,n,a,b,a,n
abandonar,abandon,ar-regular,1,n,o,d,n,a,b,a,n
abanicar,abanic,ar-regular,1,c,i,n,a,a,b,a,n
abaratar,abarat,ar-regular,1,t,a,r,a,a,b,a,r
abarcar,abarc,ar-regular,1,c,r,a,b,a,b,a,r
abarrotar,abaRot,ar-regular,1,t,o,R,a,a,b,a,R
abastar,abast,ar-regular,1,t,s,a,b,a,b,a,s
abdicar,abdic,ar-regular,1,c,i,d,b,a,b,d,i
ablandar,abland,ar-regular,1,d,n,a,l,a,b,l,a
abocar,aboc,ar-regular,1,c,o,b,a,a,b,o,c
abogar,abog,ar-regular,1,g,o,b,a,a,b,o,g
abombar,abomb,ar-regular,1,b,m,o,b,a,b,o,m
abonar,abon,ar-regular,1,n,o,b,a,a,b,o,n
abordar,abord,ar-regular,1,d,r,o,b,a,b,o,r
abortar,abort,ar-regular,1,t,r,o,b,a,b,o,r
abrasar,abras,ar-regular,1,s,a,r,b,a,b,r,a
abrazar,abraz,ar-regular,1,z,a,r,b,a,b,r,a
abreviar,abrebi,ar-regular,1,i,b,e,r,a,b,r,e
abrigar,abrig,ar-regular,1,g,i,r,b,a,b,r,i
abrillantar,abriLant,ar-regular,1,t,n,a,L,a,b,r,i
abrochar,abroC,ar-regular,1,C,o,r,b,a,b,r,o
abrogar,abrog,ar-regular,1,g,o,r,b,a,b,r,o
abuchear,abuCe,ar-regular,1,e,C,u,b,a,b,u,C
abultar,abult,ar-regular,1,t,l,u,b,a,b,u,l
abundar,abund,ar-regular,1,d,n,u,b,a,b,u,n
abusar,abus,ar-regular,1,s,u,b,a,a,b,u,s
acabar,acab,ar-regular,1,b,a,c,a,a,c,a,b
acallar,acaL,ar-regular,1,L,a,c,a,a,c,a,L
acalorar,acalor,ar-regular,1,r,o,l,a,a,c,a,l
acampar,acamp,ar-regular,1,p,m,a,c,a,c,a,m
acaparar,acapar,ar-regular,1,r,a,p,a,a,c,a,p
acariciar,acarizi,ar-regular,1,i,z,i,r,a,c,a,r
acarrear,acaRe,ar-regular,1,e,R,a,c,a,c,a,R
acartonar,acarton,ar-regular,1,n,o,t,r,a,c,a,r
acatar,acat,ar-regular,1,t,a,c,a,a,c,a,t
acatarrar,acataR,ar-regular,1,R,a,t,a,a,c,a,t
acaudalar,acaudal,ar-regular,1,l,a,d,u,a,c,a,u
accionar,aczion,ar-regular,1,n,o,i,z,a,c,z,i
acechar,azeC,ar-regular,1,C,e,z,a,a,z,e,C
aceitar,azeit,ar-regular,1,t,i,e,z,a,z,e,i
acelerar,azeler,ar-regular,1,r,e,l,e,a,z,e,l
acentuar,azentu,ar-regular,1,u,t,n,e,a,z,e,n
aceptar,azept,ar-regular,1,t,p,e,z,a,z,e,p
acerar,azer,ar-regular,1,r,e,z,a,a,z,e,r
acercar,azerc,ar-regular,1,c,r,e,z,a,z,e,r
acertar,azert,ar-ie,0,t,r,e,z,a,z,e,r
achacar,aCac,ar-regular,1,c,a,C,a,a,C,a,c
achicar,aCic,ar-regular,1,c,i,C,a,a,C,i,c
achicharrar,aCiCaR,ar-regular,1,R,a,C,i,a,C,i,C
aclamar,aclam,ar-regular,1,m,a,l,c,a,c,l,a
aclarar,aclar,ar-regular,1,r,a,l,c,a,c,l,a
acogotar,acogot,ar-regular,1,t,o,g,o,a,c,o,g
acomodar,acomod,ar-regular,1,d,o,m,o,a,c,o,m
acondicionar,acondizion,ar-regular,1,n,o,i,z,a,c,o,n
acongojar,acongoj,ar-regular,1,j,o,g,n,a,c,o,n
aconsejar,aconsej,ar-regular,1,j,e,s,n,a,c,o,n
acopiar,acopi,ar-regular,1,i,p,o,c,a,c,o,p
acoplar,acopl,ar-regular,1,l,p,o,c,a,c,o,p
acorazar,acoraz,ar-regular,1,z,a,r,o,a,c,o,r
acordar,acord,ar-ue,0,d,r,o,c,a,c,o,r
acordonar,acordon,ar-regular,1,n,o,d,r,a,c,o,r
acorralar,acoRal,ar-regular,1,l,a,R,o,a,c,o,R
acortar,acort,ar-regular,1,t,r,o,c,a,c,o,r
acosar,acos,ar-regular,1,s,o,c,a,a,c,o,s
acostar,acost,ar-ue,0,t,s,o,c,a,c,o,s
acostumbrar,acostumbr,ar-regular,1,r,b,m,u,a,c,o,s
acotar,acot,ar-regular,1,t,o,c,a,a,c,o,t
acrecentar,acrezent,ar-ie,0,t,n,e,z,a,c,r,e
acreditar,acredit,ar-regular,1,t,i,d,e,a,c,r,e
acribillar,acribiL,ar-regular,1,L,i,b,i,a,c,r,i
activar,actib,ar-regular,1,b,i,t,c,a,c,t,i
actualizar,actualiz,ar-regular,1,z,i,l,a,a,c,t,u
actuar,actu,ar-regular,1,u,t,c,a,a,c,t,u
acuchillar,acuCiL,ar-regular,1,L,i,C,u,a,c,u,C
acuciar,acuzi,ar-regular,1,i,z,u,c,a,c,u,z
acumular,acumul,ar-regular,1,l,u,m,u,a,c,u,m
acusar,acus,ar-regular,1,s,u,c,a,a,c,u,s
adaptar,adapt,ar-regular,1,t,p,a,d,a,d,a,p
adecentar,adezent,ar-regular,1,t,n,e,z,a,d,e,z
adecuar,adecu,ar-regular,1,u,c,e,d,a,d,e,c
adelantar,adelant,ar-regular,1,t,n,a,l,a,d,e,l
adelgazar,adelgaz,ar-regular,1,z,a,g,l,a,d,e,l
aderezar,aderez,ar-regular,1,z,e,r,e,a,d,e,r
adeudar,adeud,ar-regular,1,d,u,e,d,a,d,e,u
adicionar,adizion,ar-regular,1,n,o,i,z,a,d,i,z
adiestrar,adiestr,ar-regular,1,r,t,s,e,a,d,i,e
adivinar,adibin,ar-regular,1,n,i,b,i,a,d,i,b
adjetivar,adjetib,ar-regular,1,b,i,t,e,a,d,j,e
adjudicar,adjudic,ar-regular,1,c,i,d,u,a,d,j,u
adjuntar,adjunt,ar-regular,1,t,n,u,j,a,d,j,u
administrar,administr,ar-regular,1,r,t,s,i,a,d,m,i
admirar,admir,ar-regular,1,r,i,m,d,a,d,m,i
adobar,adob,ar-regular,1,b,o,d,a,a,d,o,b
adoctrinar,adoctrin,ar-regular,1,n,i,r,t,a,d,o,c
adoptar,adopt,ar-regular,1,t,p,o,d,a,d,o,p
adorar,ador,ar-regular,1,r,o,d,a,a,d,o,r
adornar,adorn,ar-regular,1,n,r,o,d,a,d,o,r
adosar,ados,ar-regular,1,s,o,d,a,a,d,o,s
adulterar,adulter,ar-regular,1,r,e,t,l,a,d,u,l
afamar,afam,ar-regular,1,m,a,f,a,a,f,a,m
afanar,afan,ar-regular,1,n,a,f,a,a,f,a,n
afear,afe,ar-regular,1,e,f,a,,a,f,e,
afectar,afect,ar-regular,1,t,c,e,f,a,f,e,c
afeitar,afeit,ar-regular,1,t,i,e,f,a,f,e,i
aferrar,afeR,ar-regular,1,R,e,f,a,a,f,e,R
afianzar,afianz,ar-regular,1,z,n,a,i,a,f,i,a
aficionar,afizion,ar-regular,1,n,o,i,z,a,f,i,z
afilar,afil,ar-regular,1,l,i,f,a,a,f,i,l
afinar,afin,ar-regular,1,n,i,f,a,a,f,i,n
afirmar,afirm,ar-regular,1,m,r,i,f,a,f,i,r
aflojar,afloj,ar-regular,1,j,o,l,f,a,f,l,o
aflorar,aflor,ar-regular,1,r,o,l,f,a,f,l,o
afrentar,afrent,ar-regular,1,t,n,e,r,a,f,r,e
afrontar,afront,ar-regular,1,t,n,o,r,a,f,r,o
agachar,agaC,ar-regular,1,C,a,g,a,a,g,a,C
agarrar,agaR,ar-regular,1,R,a,g,a,a,g,a,R
agarrotar,agaRot,ar-regular,1,t,o,R,a,a,g,a,R
agasajar,agasaj,ar-regular,1,j,a,s,a,a,g,a,s
agenciar,ajenzi,ar-regular,1,i,z,n,e,a,j,e,n
agilizar,ajiliz,ar-regular,1,z,i,l,i,a,j,i,l
agitar,ajit,ar-regular,1,t,i,j,a,a,j,i,t
aglomerar,aglomer,ar-regular,1,r,e,m,o,a,g,l,o
aglutinar,aglutin,ar-regular,1,n,i,t,u,a,g,l,u
agobiar,agobi,ar-regular,1,i,b,o,g,a,g,o,b
agonizar,agoniz,ar-regular,1,z,i,n,o,a,g,o,n
agostar,agost,ar-regular,1,t,s,o,g,a,g,o,s
agotar,agot,ar-regular,1,t,o,g,a,a,g,o,t
agraciar,agrazi,ar-regular,1,i,z,a,r,a,g,r,a
agradar,agrad,ar-regular,1,d,a,r,g,a,g,r,a
agrandar,agrand,ar-regular,1,d,n,a,r,a,g,r,a
agravar,agrab,ar-regular,1,b,a,r,g,a,g,r,a
agraviar,agrabi,ar-regular,1,i,b,a,r,a,g,r,a
agregar,agreg,ar-regular,1,g,e,r,g,a,g,r,e
agremiar,agremi,ar-regular,1,i,m,e,r,a,g,r,e
agrupar,agrup,ar-regular,1,p,u,r,g,a,g,r,u
aguantar,aguant,ar-regular,1,t,n,a,u,a,g,u,a
aguar,agu,ar-regular,1,u,g,a,,a,g,u,
aguardar,aguard,ar-regular,1,d,r,a,u,a,g,u,a
agudizar,agudiz,ar-regular,1,z,i,d,u,a,g,u,d
aguijonear,agijone,ar-regular,1,e,n,o,j,a,g,i,j
agujerear,agujere,ar-regular,1,e,r,e,j,a,g,u,j
ahijar,aij,ar-regular,1,j,i,a,,a,i,j,
ahincar,ainc,ar-regular,1,c,n,i,a,a,i,n,c
ahogar,aog,ar-regular,1,g,o,a,,a,o,g,
ahondar,aond,ar-regular,1,d,n,o,a,a,o,n,d
ahorcar,aorc,ar-regular,1,c,r,o,a,a,o,r,c
ahorrar,aoR,ar-regular,1,R,o,a,,a,o,R,
ahumar,aum,ar-regular,1,m,u,a,,a,u,m,
ahuyentar,auLent,ar-regular,1,t,n,e,L,a,u,L,e
airar,air,ar-regular,1,r,i,a,,a,i,r,
airear,aire,ar-regular,1,e,r,i,a,a,i,r,e
aislar,aisl,ar-regular,1,l,s,i,a,a,i,s,l
ajustar,ajust,ar-regular,1,t,s,u,j,a,j,u,s
ajusticiar,ajustizi,ar-regular,1,i,z,i,t,a,j,u,s
alabar,alab,ar-regular,1,b,a,l,a,a,l,a,b
alambrar,alambr,ar-regular,1,r,b,m,a,a,l,a,m
alardear,alarde,ar-regular,1,e,d,r,a,a,l,a,r
alargar,alarg,ar-regular,1,g,r,a,l,a,l,a,r
alarmar,alarm,ar-regular,1,m,r,a,l,a,l,a,r
albergar,alberg,ar-regular,1,g,r,e,b,a,l,b,e
alborotar,alborot,ar-regular,1,t,o,r,o,a,l,b,o
alcahuetear,alcauete,ar-regular,1,e,t,e,u,a,l,c,a
alcantarillar,alcantariL,ar-regular,1,L,i,r,a,a,l,c,a
alcanzar,alcanz,ar-regular,1,z,n,a,c,a,l,c,a
aleccionar,aleczion,ar-regular,1,n,o,i,z,a,l,e,c
